Attribute_sim,human_classification
0.5911858677864075,-1
0.608214795589447,-1
0.7353910207748413,-1
0.6139106154441833,-1
0.5750393867492676,-1
0.6579379439353943,-1
0.7613473534584045,-1
0.5341234803199768,-1
0.5593264102935791,-1
0.5039447546005249,-1
0.7726016640663147,-1
0.13040971755981445,-1
0.4809783697128296,-1
0.46394842863082886,-1
0.08873255550861359,-1
0.4504731595516205,-1
0.07635287940502167,-1
0.7045900225639343,-1
0.7164048552513123,-1
0.14142033457756042,-1
0.4487760066986084,-1
0.4399442970752716,-1
0.4312353730201721,-1
0.42414915561676025,-1
0.7014259696006775,-1
0.4181060492992401,-1
0.13840991258621216,-1
0.4169904589653015,-1
0.04896029829978943,-1
0.7008469700813293,-1
0.576187789440155,-1
0.7062440514564514,-1
0.7286238074302673,-1
0.4130471646785736,-1
0.40864327549934387,-1
0.4048677682876587,-1
0.4015056788921356,-1
0.03598736599087715,-1
0.5086753964424133,-1
0.7012653350830078,-1
0.6978242993354797,-1
0.3985728919506073,-1
0.3977929353713989,-1
0.3977929353713989,-1
0.6974495649337769,-1
0.7004010081291199,-1
0.03375246748328209,-1
0.5721459984779358,-1
0.03177274391055107,-1
0.399902880191803,-1
0.39358532428741455,-1
0.39144793152809143,-1
0.38953733444213867,-1
0.3877749741077423,-1
0.3861857056617737,-1
0.6966075897216797,-1
0.6936433911323547,-1
0.385613352060318,-1
0.3847087025642395,-1
0.3841609060764313,-1
0.38416072726249695,-1
0.3841609060764313,-1
0.6962443590164185,-1
0.02350941114127636,-1
0.6929591298103333,-1
0.38416072726249695,-1
0.3841608464717865,-1
0.7832916378974915,-1
0.4805981516838074,-1
0.5832404494285583,-1
0.6759624481201172,-1
0.6916601061820984,-1
0.38336533308029175,-1
0.3821108043193817,-1
0.38096335530281067,-1
0.37988439202308655,-1
0.3788914382457733,-1
0.3779527544975281,-1
0.3770860433578491,-1
0.3762623965740204,-1
0.3754977881908417,-1
0.3747696578502655,-1
0.3740905225276947,-1
0.3737172484397888,-1
0.5832404494285583,-1
0.6930499076843262,-1
0.37371745705604553,-1
0.015461063012480736,-1
0.37303245067596436,-1
0.373395174741745,-1
0.5907853245735168,-1
0.3730320334434509,-1
0.3730325400829315,-1
0.6761704683303833,-1
0.6928737163543701,-1
0.37303245067596436,-1
0.4401044547557831,-1
0.5832404494285583,-1
0.3730320334434509,-1
0.7832916378974915,-1
0.6759624481201172,-1
0.7832916378974915,-1
0.6759624481201172,-1
0.5832404494285583,-1
0.7832916378974915,-1
0.6759624481201172,-1
0.7832916378974915,-1
0.6759624481201172,-1
0.7832916378974915,-1
0.6759624481201172,-1
0.6926897764205933,-1
0.3727265000343323,-1
0.5832404494285583,-1
0.3720865547657013,-1
0.37148892879486084,-1
0.37091606855392456,-1
0.3703787326812744,-1
0.3698635697364807,-1
0.3693764805793762,-1
0.36890777945518494,-1
0.368467777967453,-1
0.3680399954319,-1
0.3676375150680542,-1
0.36724698543548584,-1
0.3668782711029053,-1
0.3665200471878052,-1
0.36618152260780334,-1
0.36585238575935364,-1
0.5712729096412659,-1
0.7710092067718506,-1
0.6437503695487976,-1
0.5700768828392029,-1
0.8833639025688171,-1
0.7436379790306091,-1
0.4582900106906891,-1
0.6496397852897644,-1
0.6400766372680664,-1
0.6173989176750183,-1
0.5703324675559998,-1
0.6639559268951416,-1
0.15414370596408844,-1
0.5205883979797363,-1
0.48449596762657166,-1
0.10488148778676987,-1
0.4568025767803192,-1
0.09024875611066818,-1
0.522122859954834,-1
0.5382880568504333,-1
0.10580170154571533,-1
0.4196828603744507,-1
0.4353030323982239,-1
0.41788673400878906,-1
0.4037252962589264,-1
0.5193458199501038,-1
0.3918302655220032,-1
0.08055853098630905,-1
0.3680940568447113,-1
0.057870857417583466,-1
0.5188215970993042,-1
0.6168761849403381,-1
0.5291011929512024,-1
0.38184481859207153,-1
0.3732449412345886,-1
0.36584609746932983,-1
0.35933247208595276,-1
0.0425369068980217,-1
0.5857185125350952,-1
0.5246200561523438,-1
0.5163449048995972,-1
0.3536260426044464,-1
0.3365672528743744,-1
0.3370397984981537,-1
0.5160264372825623,-1
0.5238441824913025,-1
0.03989526629447937,-1
0.4610459506511688,-1
0.03755524009466171,-1
0.29673147201538086,-1
0.34399721026420593,-1
0.3398987948894501,-1
0.336215615272522,-1
0.33284929394721985,-1
0.32979610562324524,-1
0.5204710364341736,-1
0.513042151927948,-1
0.3172774314880371,-1
0.3269830644130707,-1
0.3153291642665863,-1
0.31499695777893066,-1
0.3153291642665863,-1
0.5201361179351807,-1
0.02778801880776882,-1
0.5125164985656738,-1
0.31532901525497437,-1
0.31532910466194153,-1
0.6458929181098938,-1
0.8455081582069397,1
0.4599323272705078,-1
0.5115378499031067,-1
0.32441067695617676,-1
0.32202598452568054,-1
0.319831520318985,-1
0.3177836537361145,-1
0.31588807702064514,-1
0.3141101598739624,-1
0.31245750188827515,-1
0.31089988350868225,-1
0.3094450533390045,-1
0.30806952714920044,-1
0.3067793548107147,-1
0.29861506819725037,-1
0.8454986810684204,1
0.5172891616821289,-1
0.2988413870334625,-1
0.018274907022714615,-1
0.29780393838882446,-1
0.3055172562599182,-1
0.47198864817619324,-1
0.2978035807609558,-1
0.29780399799346924,-1
0.4999552071094513,-1
0.5171287059783936,-1
0.2975841760635376,-1
0.8454972505569458,1
0.2978035807609558,-1
0.6458929181098938,-1
0.4599323272705078,-1
0.6458929181098938,-1
0.4599323272705078,-1
0.8454986810684204,1
0.6458929181098938,-1
0.4599323272705078,-1
0.6458929181098938,-1
0.4599323272705078,-1
0.6458929181098938,-1
0.4599323272705078,-1
0.5169640183448792,-1
0.3043152093887329,-1
0.8455081582069397,1
0.303171843290329,-1
0.3020954728126526,-1
0.3010687232017517,-1
0.3000984787940979,-1
0.2991721034049988,-1
0.29829251766204834,-1
0.29745015501976013,-1
0.2966519594192505,-1
0.2958832085132599,-1
0.29515326023101807,-1
0.294450044631958,-1
0.2937805652618408,-1
0.2931345999240875,-1
0.2925187349319458,-1
0.29192376136779785,-1
0.6235150694847107,-1
0.5868697762489319,-1
0.5880683660507202,-1
0.5073752999305725,-1
0.8180775046348572,-1
0.4450056552886963,-1
0.9670690894126892,-1
0.4024471044540405,-1
0.8060157895088196,-1
0.2534683048725128,-1
0.3717876076698303,-1
0.3494647741317749,-1
0.1771242767572403,-1
0.3322502672672272,-1
0.15441781282424927,-1
0.43290120363235474,-1
0.4652920961380005,-1
0.3304453492164612,-1
0.3188715875148773,-1
0.30799558758735657,-1
0.29915109276771545,-1
0.4284641146659851,-1
0.2917028069496155,-1
0.290516197681427,-1
