attribute_sim,numNodes1,numNodes2,human_classification
0.5911858677864075,41,103,2
0.608214795589447,41,52,2
0.7353910207748413,41,37,2
0.6139106154441833,41,134,2
0.5750393867492676,41,165,2
0.6579379439353943,41,226,2
0.7613473534584045,41,62,2
0.5341234803199768,41,196,2
0.5593264102935791,41,49,2
0.5039447546005249,41,227,2
0.7726016640663147,41,65,2
0.13040971755981445,41,145,2
0.4809783697128296,41,258,2
0.46394842863082886,41,289,2
0.08873255550861359,41,193,2
0.4504731595516205,41,320,2
0.07635287940502167,41,217,2
0.7045900225639343,41,260,2
0.7164048552513123,41,90,2
0.14142033457756042,41,6,2
0.4487760066986084,41,320,2
0.4399442970752716,41,351,2
0.4312353730201721,41,382,2
0.42414915561676025,41,413,2
0.7014259696006775,41,360,2
0.4181060492992401,41,444,2
0.13840991258621216,41,3,2
0.4169904589653015,41,444,2
0.04896029829978943,41,313,2
0.7008469700813293,41,392,2
0.576187789440155,41,51,2
0.7062440514564514,41,127,2
0.7286238074302673,41,29,2
0.4130471646785736,41,475,2
0.40864327549934387,41,506,2
0.4048677682876587,41,537,2
0.4015056788921356,41,568,2
0.03598736599087715,41,409,2
0.5086753964424133,41,46,2
0.7012653350830078,41,164,2
0.6978242993354797,41,524,2
0.3985728919506073,41,599,2
0.3977929353713989,41,599,2
0.3977929353713989,41,599,2
0.6974495649337769,41,560,2
0.7004010081291199,41,172,2
0.03375246748328209,41,433,2
0.5721459984779358,41,23,2
0.03177274391055107,41,457,2
0.399902880191803,41,93,2
0.39358532428741455,41,661,2
0.39144793152809143,41,692,2
0.38953733444213867,41,723,2
0.3877749741077423,41,754,2
0.3861857056617737,41,785,2
0.6966075897216797,41,230,2
0.6936433911323547,41,760,2
0.385613352060318,41,785,2
0.3847087025642395,41,816,2
0.3841609060764313,41,816,2
0.38416072726249695,41,816,2
0.3841609060764313,41,816,2
0.6962443590164185,41,238,2
0.02350941114127636,41,601,2
0.6929591298103333,41,792,2
0.38416072726249695,41,816,2
0.3841608464717865,41,816,2
0.7832916378974915,41,86,2
0.4805981516838074,41,57,2
0.5832404494285583,41,103,2
0.6759624481201172,41,230,2
0.6916601061820984,41,824,2
0.38336533308029175,41,847,2
0.3821108043193817,41,878,2
0.38096335530281067,41,909,2
0.37988439202308655,41,940,2
0.3788914382457733,41,971,2
0.3779527544975281,41,1002,2
0.3770860433578491,41,1033,2
0.3762623965740204,41,1064,2
0.3754977881908417,41,1095,2
0.3747696578502655,41,1126,2
0.3740905225276947,41,1157,2
0.3737172484397888,41,1157,2
0.5832404494285583,41,103,2
0.6930499076843262,41,341,2
0.37371745705604553,41,1157,2
0.015461063012480736,41,889,2
0.37303245067596436,41,1188,2
0.373395174741745,41,1188,2
0.5907853245735168,41,21,2
0.3730320334434509,41,1188,2
0.37385958433151245,41,1188,2
0.6761704683303833,41,1192,2
0.6928737163543701,41,349,2
0.37303245067596436,41,1188,2
0.4401044547557831,41,69,2
0.5832404494285583,41,103,2
0.3730320334434509,41,1188,2
0.7832916378974915,41,86,2
0.6759624481201172,41,230,2
0.7832916378974915,41,86,2
0.6759624481201172,41,230,2
0.5832404494285583,41,103,2
0.7832916378974915,41,86,2
0.6759624481201172,41,230,2
0.7832916378974915,41,86,2
0.6759624481201172,41,230,2
0.7832916378974915,41,86,2
0.6759624481201172,41,230,2
0.6926897764205933,41,357,2
0.3727265000343323,41,1219,2
0.5832404494285583,41,103,2
0.3720865547657013,41,1250,2
0.37148892879486084,41,1281,2
0.37091606855392456,41,1312,2
0.3703787326812744,41,1343,2
0.3698635697364807,41,1374,2
0.3693764805793762,41,1405,2
0.36890777945518494,41,1436,2
0.368467777967453,41,1467,2
0.3680399954319,41,1498,2
0.3676375150680542,41,1529,2
0.36724698543548584,41,1560,2
0.3668782711029053,41,1591,2
0.3665200471878052,41,1622,2
0.36618152260780334,41,1653,2
0.36585238575935364,41,1684,2
0.5712729096412659,41,48,2
0.7710092067718506,41,34,2
0.6437503695487976,103,52,2
0.5700768828392029,103,37,2
0.8833639025688171,103,134,2
0.7436379790306091,103,165,2
0.4582900106906891,103,226,2
0.6496397852897644,103,62,2
0.6400766372680664,103,196,2
0.6173989176750183,103,49,2
0.5703324675559998,103,227,2
0.6639559268951416,103,65,2
0.15414370596408844,103,145,2
0.5205883979797363,103,258,2
0.48449596762657166,103,289,2
0.10488148778676987,103,193,2
0.4568025767803192,103,320,2
0.09024875611066818,103,217,2
0.522122859954834,103,260,2
0.5382880568504333,103,90,2
0.10580170154571533,103,6,2
0.4196828603744507,103,320,2
0.4353030323982239,103,351,2
0.41788673400878906,103,382,2
0.4037252962589264,103,413,2
0.5193458199501038,103,360,2
0.3918302655220032,103,444,2
0.08055853098630905,103,3,2
0.3680940568447113,103,444,2
0.057870857417583466,103,313,2
0.5188215970993042,103,392,2
0.6168761849403381,103,51,2
0.5291011929512024,103,127,2
0.38184481859207153,103,475,2
0.3732449412345886,103,506,2
0.36584609746932983,103,537,2
